"departure_airport","arrival_airport","per_month","people_flown","sum","piople","npa"
"Тюмень - Roshchino International Airport (TJM)","Архангельск - Talagi Airport (ARH)","05","25","393900.00","9944","very few"
"Тюмень - Roshchino International Airport (TJM)","Архангельск - Talagi Airport (ARH)","06","147","2297700.00","9944","very few"
"Тюмень - Roshchino International Airport (TJM)","Архангельск - Talagi Airport (ARH)","07","172","2680400.00","9944","very few"
"Тюмень - Roshchino International Airport (TJM)","Архангельск - Talagi Airport (ARH)","08","77","1203100.00","9944","very few"
"Томск - Bogashevo Airport (TOF)","Архангельск - Talagi Airport (ARH)","05","10","262800.00","9944","very few"
"Томск - Bogashevo Airport (TOF)","Архангельск - Talagi Airport (ARH)","06","177","4552500.00","9944","very few"
"Томск - Bogashevo Airport (TOF)","Архангельск - Talagi Airport (ARH)","07","173","4450500.00","9944","very few"
"Томск - Bogashevo Airport (TOF)","Архангельск - Talagi Airport (ARH)","08","78","2015000.00","9944","very few"
"Нарьян-Мар - Naryan Mar Airport (NNM)","Архангельск - Talagi Airport (ARH)","05","559","3718800.00","9944","very few"
"Нарьян-Мар - Naryan Mar Airport (NNM)","Архангельск - Talagi Airport (ARH)","06","1244","8281100.00","9944","very few"
"Нарьян-Мар - Naryan Mar Airport (NNM)","Архангельск - Talagi Airport (ARH)","07","1273","8476700.00","9944","very few"
"Нарьян-Мар - Naryan Mar Airport (NNM)","Архангельск - Talagi Airport (ARH)","08","624","4152000.00","9944","very few"
"Ханты-Мансийск - Khanty Mansiysk Airport (HMA)","Архангельск - Talagi Airport (ARH)","05","127","1907300.00","9944","very few"
"Ханты-Мансийск - Khanty Mansiysk Airport (HMA)","Архангельск - Talagi Airport (ARH)","06","285","4281000.00","9944","very few"
"Ханты-Мансийск - Khanty Mansiysk Airport (HMA)","Архангельск - Talagi Airport (ARH)","07","323","4845700.00","9944","very few"
"Ханты-Мансийск - Khanty Mansiysk Airport (HMA)","Архангельск - Talagi Airport (ARH)","08","141","2120400.00","9944","very few"
"Москва - Domodedovo International Airport (DME)","Архангельск - Talagi Airport (ARH)","05","506","5149600.00","9944","very few"
"Москва - Domodedovo International Airport (DME)","Архангельск - Talagi Airport (ARH)","06","1238","12600800.00","9944","very few"
"Москва - Domodedovo International Airport (DME)","Архангельск - Talagi Airport (ARH)","07","1279","13017900.00","9944","very few"
"Пермь - Bolshoye Savino Airport (PEE)","Архангельск - Talagi Airport (ARH)","08","137","1507000.00","9944","very few"
"Барнаул - Barnaul Airport (BAX)","Астрахань - Astrakhan Airport (ASF)","08","150","3986000.00","4915","very few"
"Барнаул - Barnaul Airport (BAX)","Астрахань - Astrakhan Airport (ASF)","07","346","9215000.00","4915","very few"
"Барнаул - Barnaul Airport (BAX)","Астрахань - Astrakhan Airport (ASF)","06","310","8254200.00","4915","very few"
"Барнаул - Barnaul Airport (BAX)","Астрахань - Astrakhan Airport (ASF)","05","101","2682000.00","4915","very few"
"Москва - Domodedovo International Airport (DME)","Астрахань - Astrakhan Airport (ASF)","05","276","3433200.00","4915","very few"
"Москва - Domodedovo International Airport (DME)","Астрахань - Astrakhan Airport (ASF)","06","676","8440000.00","4915","very few"
"Москва - Domodedovo International Airport (DME)","Астрахань - Astrakhan Airport (ASF)","07","691","8630800.00","4915","very few"
"Москва - Domodedovo International Airport (DME)","Астрахань - Astrakhan Airport (ASF)","08","309","3860400.00","4915","very few"
"Москва - Sheremetyevo International Airport (SVO)","Астрахань - Astrakhan Airport (ASF)","08","355","4647500.00","4915","very few"
"Москва - Sheremetyevo International Airport (SVO)","Астрахань - Astrakhan Airport (ASF)","07","716","9386000.00","4915","very few"
"Москва - Sheremetyevo International Airport (SVO)","Астрахань - Astrakhan Airport (ASF)","06","707","9274200.00","4915","very few"
"Москва - Sheremetyevo International Airport (SVO)","Астрахань - Astrakhan Airport (ASF)","05","278","3642600.00","4915","very few"
"Москва - Vnukovo International Airport (VKO)","Барнаул - Barnaul Airport (BAX)","05","191","6991100.00","6217","very few"
"Москва - Vnukovo International Airport (VKO)","Барнаул - Barnaul Airport (BAX)","06","657","24135800.00","6217","very few"
"Москва - Vnukovo International Airport (VKO)","Барнаул - Barnaul Airport (BAX)","07","669","25080600.00","6217","very few"
"Москва - Vnukovo International Airport (VKO)","Барнаул - Barnaul Airport (BAX)","08","299","11188600.00","6217","very few"
"Москва - Sheremetyevo International Airport (SVO)","Барнаул - Barnaul Airport (BAX)","08","292","10674400.00","6217","very few"
"Москва - Sheremetyevo International Airport (SVO)","Барнаул - Barnaul Airport (BAX)","07","657","24018900.00","6217","very few"
"Москва - Sheremetyevo International Airport (SVO)","Барнаул - Barnaul Airport (BAX)","06","580","21287500.00","6217","very few"
"Москва - Sheremetyevo International Airport (SVO)","Барнаул - Barnaul Airport (BAX)","05","242","8798900.00","6217","very few"
"Астрахань - Astrakhan Airport (ASF)","Барнаул - Barnaul Airport (BAX)","05","89","2362600.00","6217","very few"
"Астрахань - Astrakhan Airport (ASF)","Барнаул - Barnaul Airport (BAX)","06","316","8410000.00","6217","very few"
"Астрахань - Astrakhan Airport (ASF)","Барнаул - Barnaul Airport (BAX)","07","336","8935400.00","6217","very few"
"Астрахань - Astrakhan Airport (ASF)","Барнаул - Barnaul Airport (BAX)","08","155","4123200.00","6217","very few"
"Москва - Domodedovo International Airport (DME)","Барнаул - Barnaul Airport (BAX)","08","335","12742800.00","6217","very few"
"Москва - Domodedovo International Airport (DME)","Барнаул - Barnaul Airport (BAX)","07","589","22008000.00","6217","very few"
"Москва - Domodedovo International Airport (DME)","Барнаул - Barnaul Airport (BAX)","06","600","22092400.00","6217","very few"
"Москва - Domodedovo International Airport (DME)","Барнаул - Barnaul Airport (BAX)","05","210","7595000.00","6217","very few"
"Анапа - Anapa Vityazevo Airport (AAQ)","Белгород - Belgorod International Airport (EGO)","07","2804","22183800.00","19631","few"
"Сочи - Sochi International Airport (AER)","Белгород - Belgorod International Airport (EGO)","05","63","529200.00","19631","few"
"Анапа - Anapa Vityazevo Airport (AAQ)","Белгород - Belgorod International Airport (EGO)","05","533","4193100.00","19631","few"
"Сочи - Sochi International Airport (AER)","Белгород - Belgorod International Airport (EGO)","06","131","1100400.00","19631","few"
"Анапа - Anapa Vityazevo Airport (AAQ)","Белгород - Belgorod International Airport (EGO)","06","2710","21369000.00","19631","few"
"Москва - Domodedovo International Airport (DME)","Белгород - Belgorod International Airport (EGO)","08","918","6306500.00","19631","few"
"Сочи - Sochi International Airport (AER)","Белгород - Belgorod International Airport (EGO)","08","60","504000.00","19631","few"
"Сочи - Sochi International Airport (AER)","Белгород - Belgorod International Airport (EGO)","07","133","1117200.00","19631","few"
"Брянск - Bryansk Airport (BZK)","Белгород - Belgorod International Airport (EGO)","08","972","4034700.00","19631","few"
"Брянск - Bryansk Airport (BZK)","Белгород - Belgorod International Airport (EGO)","07","2069","8535300.00","19631","few"
"Брянск - Bryansk Airport (BZK)","Белгород - Belgorod International Airport (EGO)","06","1998","8234700.00","19631","few"
"Брянск - Bryansk Airport (BZK)","Белгород - Belgorod International Airport (EGO)","05","1016","4212600.00","19631","few"
"Москва - Domodedovo International Airport (DME)","Белгород - Belgorod International Airport (EGO)","05","947","6365300.00","19631","few"
"Москва - Domodedovo International Airport (DME)","Белгород - Belgorod International Airport (EGO)","06","1925","12853000.00","19631","few"
"Анапа - Anapa Vityazevo Airport (AAQ)","Белгород - Belgorod International Airport (EGO)","08","1340","10597200.00","19631","few"
"Москва - Domodedovo International Airport (DME)","Белгород - Belgorod International Airport (EGO)","07","2012","13637600.00","19631","few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Благовещенск - Ignatyevo Airport (BQS)","08","663","4993800.00","3843","very few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Благовещенск - Ignatyevo Airport (BQS)","07","1365","10209000.00","3843","very few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Благовещенск - Ignatyevo Airport (BQS)","06","1368","10279200.00","3843","very few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Благовещенск - Ignatyevo Airport (BQS)","05","447","3405000.00","3843","very few"
"Москва - Domodedovo International Airport (DME)","Братск - Bratsk Airport (BTK)","06","1767","90851200.00","5237","very few"
"Москва - Domodedovo International Airport (DME)","Братск - Bratsk Airport (BTK)","08","882","45709400.00","5237","very few"
"Москва - Domodedovo International Airport (DME)","Братск - Bratsk Airport (BTK)","07","1814","94269800.00","5237","very few"
"Москва - Domodedovo International Airport (DME)","Братск - Bratsk Airport (BTK)","05","774","38953500.00","5237","very few"
"Белгород - Belgorod International Airport (EGO)","Брянск - Bryansk Airport (BZK)","05","365","1463400.00","29897","average"
"Москва - Vnukovo International Airport (VKO)","Брянск - Bryansk Airport (BZK)","07","2040","8433000.00","29897","average"
"Москва - Vnukovo International Airport (VKO)","Брянск - Bryansk Airport (BZK)","06","1975","8198100.00","29897","average"
"Москва - Domodedovo International Airport (DME)","Брянск - Bryansk Airport (BZK)","05","864","3685400.00","29897","average"
"Москва - Vnukovo International Airport (VKO)","Брянск - Bryansk Airport (BZK)","05","999","4203900.00","29897","average"
"Москва - Sheremetyevo International Airport (SVO)","Брянск - Bryansk Airport (BZK)","06","3361","15740700.00","29897","average"
"Москва - Sheremetyevo International Airport (SVO)","Брянск - Bryansk Airport (BZK)","07","3457","16132900.00","29897","average"
"Москва - Sheremetyevo International Airport (SVO)","Брянск - Bryansk Airport (BZK)","08","1647","7639500.00","29897","average"
"Белгород - Belgorod International Airport (EGO)","Брянск - Bryansk Airport (BZK)","08","1008","4162200.00","29897","average"
"Белгород - Belgorod International Airport (EGO)","Брянск - Bryansk Airport (BZK)","07","2089","8569800.00","29897","average"
"Белгород - Belgorod International Airport (EGO)","Брянск - Bryansk Airport (BZK)","06","1975","8202000.00","29897","average"
"Москва - Vnukovo International Airport (VKO)","Брянск - Bryansk Airport (BZK)","08","969","4026600.00","29897","average"
"Москва - Sheremetyevo International Airport (SVO)","Брянск - Bryansk Airport (BZK)","05","1617","7415500.00","29897","average"
"Москва - Domodedovo International Airport (DME)","Брянск - Bryansk Airport (BZK)","08","1481","6376800.00","29897","average"
"Москва - Domodedovo International Airport (DME)","Брянск - Bryansk Airport (BZK)","07","3099","13275700.00","29897","average"
"Москва - Domodedovo International Airport (DME)","Брянск - Bryansk Airport (BZK)","06","2951","12641200.00","29897","average"
"Москва - Domodedovo International Airport (DME)","Бугульма - Bugulma Airport (UUA)","05","509","4874500.00","7877","very few"
"Москва - Domodedovo International Airport (DME)","Бугульма - Bugulma Airport (UUA)","06","1017","9749500.00","7877","very few"
"Москва - Domodedovo International Airport (DME)","Бугульма - Bugulma Airport (UUA)","07","1049","10044500.00","7877","very few"
"Москва - Sheremetyevo International Airport (SVO)","Бугульма - Bugulma Airport (UUA)","08","239","2361200.00","7877","very few"
"Оренбург - Orenburg Central Airport (REN)","Бугульма - Bugulma Airport (UUA)","08","636","2308000.00","7877","very few"
"Оренбург - Orenburg Central Airport (REN)","Бугульма - Bugulma Airport (UUA)","07","1295","4705200.00","7877","very few"
"Оренбург - Orenburg Central Airport (REN)","Бугульма - Bugulma Airport (UUA)","06","1246","4524000.00","7877","very few"
"Оренбург - Orenburg Central Airport (REN)","Бугульма - Bugulma Airport (UUA)","05","216","784000.00","7877","very few"
"Москва - Domodedovo International Airport (DME)","Бугульма - Bugulma Airport (UUA)","08","475","4549500.00","7877","very few"
"Москва - Sheremetyevo International Airport (SVO)","Бугульма - Bugulma Airport (UUA)","07","486","4806800.00","7877","very few"
"Москва - Sheremetyevo International Airport (SVO)","Бугульма - Bugulma Airport (UUA)","06","506","5002800.00","7877","very few"
"Москва - Sheremetyevo International Airport (SVO)","Бугульма - Bugulma Airport (UUA)","05","203","2010400.00","7877","very few"
"Иркутск - Irkutsk Airport (IKT)","Владивосток - Vladivostok International Airport (VVO)","05","80","1832800.00","10983","few"
"Москва - Vnukovo International Airport (VKO)","Владивосток - Vladivostok International Airport (VVO)","07","1131","92255900.00","10983","few"
"Москва - Vnukovo International Airport (VKO)","Владивосток - Vladivostok International Airport (VVO)","06","1106","88116700.00","10983","few"
"Москва - Vnukovo International Airport (VKO)","Владивосток - Vladivostok International Airport (VVO)","05","283","22922400.00","10983","few"
"Иркутск - Irkutsk Airport (IKT)","Владивосток - Vladivostok International Airport (VVO)","06","239","5495400.00","10983","few"
"Иркутск - Irkutsk Airport (IKT)","Владивосток - Vladivostok International Airport (VVO)","07","248","5702800.00","10983","few"
"Иркутск - Irkutsk Airport (IKT)","Владивосток - Vladivostok International Airport (VVO)","08","120","2749200.00","10983","few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Владивосток - Vladivostok International Airport (VVO)","08","1256","9693400.00","10983","few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Владивосток - Vladivostok International Airport (VVO)","07","2577","19921800.00","10983","few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Владивосток - Vladivostok International Airport (VVO)","06","2527","19538600.00","10983","few"
"Хабаровск - Khabarovsk-Novy Airport (KHV)","Владивосток - Vladivostok International Airport (VVO)","05","811","6261200.00","10983","few"
"Москва - Vnukovo International Airport (VKO)","Владивосток - Vladivostok International Airport (VVO)","08","605","50061500.00","10983","few"
"Москва - Sheremetyevo International Airport (SVO)","Владикавказ - Beslan Airport (OGZ)","06","1025","15600500.00","4519","very few"
"Москва - Vnukovo International Airport (VKO)","Владикавказ - Beslan Airport (OGZ)","08","251","4566200.00","4519","very few"
"Москва - Vnukovo International Airport (VKO)","Владикавказ - Beslan Airport (OGZ)","07","545","10006500.00","4519","very few"
"Москва - Vnukovo International Airport (VKO)","Владикавказ - Beslan Airport (OGZ)","06","518","9367600.00","4519","very few"
"Москва - Vnukovo International Airport (VKO)","Владикавказ - Beslan Airport (OGZ)","05","191","3650200.00","4519","very few"
"Москва - Sheremetyevo International Airport (SVO)","Владикавказ - Beslan Airport (OGZ)","05","429","6527400.00","4519","very few"
"Москва - Sheremetyevo International Airport (SVO)","Владикавказ - Beslan Airport (OGZ)","07","1048","15953800.00","4519","very few"
"Москва - Sheremetyevo International Airport (SVO)","Владикавказ - Beslan Airport (OGZ)","08","512","7794200.00","4519","very few"
"Ростов-на-Дону - Rostov-on-Don Airport (ROV)","Волгоград - Volgograd International Airport (VOG)","05","462","2251200.00","27337","average"
"Москва - Vnukovo International Airport (VKO)","Волгоград - Volgograd International Airport (VOG)","06","2220","25153700.00","27337","average"
"Москва - Vnukovo International Airport (VKO)","Волгоград - Volgograd International Airport (VOG)","07","2241","25285400.00","27337","average"
"Москва - Vnukovo International Airport (VKO)","Волгоград - Volgograd International Airport (VOG)","08","1122","12654400.00","27337","average"
"Москва - Sheremetyevo International Airport (SVO)","Волгоград - Volgograd International Airport (VOG)","06","2743","31962900.00","27337","average"
"Москва - Sheremetyevo International Airport (SVO)","Волгоград - Volgograd International Airport (VOG)","07","2828","32759700.00","27337","average"
"Челябинск - Chelyabinsk Balandino Airport (CEK)","Волгоград - Volgograd International Airport (VOG)","06","2394","41310900.00","27337","average"
"Челябинск - Chelyabinsk Balandino Airport (CEK)","Волгоград - Volgograd International Airport (VOG)","05","765","13197000.00","27337","average"
"Москва - Sheremetyevo International Airport (SVO)","Волгоград - Volgograd International Airport (VOG)","08","1386","16137500.00","27337","average"
"Томск - Bogashevo Airport (TOF)","Волгоград - Volgograd International Airport (VOG)","05","12","454400.00","27337","average"
"Москва - Sheremetyevo International Airport (SVO)","Волгоград - Volgograd International Airport (VOG)","05","1060","12326500.00","27337","average"
"Томск - Bogashevo Airport (TOF)","Волгоград - Volgograd International Airport (VOG)","06","174","6327200.00","27337","average"
"Томск - Bogashevo Airport (TOF)","Волгоград - Volgograd International Airport (VOG)","07","162","5534800.00","27337","average"
"Челябинск - Chelyabinsk Balandino Airport (CEK)","Волгоград - Volgograd International Airport (VOG)","08","1145","19590200.00","27337","average"
"Челябинск - Chelyabinsk Balandino Airport (CEK)","Волгоград - Volgograd International Airport (VOG)","07","2582","44248200.00","27337","average"
"Томск - Bogashevo Airport (TOF)","Волгоград - Volgograd International Airport (VOG)","08","96","3419200.00","27337","average"
"Москва - Vnukovo International Airport (VKO)","Волгоград - Volgograd International Airport (VOG)","05","961","10982500.00","27337","average"
"Ростов-на-Дону - Rostov-on-Don Airport (ROV)","Волгоград - Volgograd International Airport (VOG)","08","987","4620000.00","27337","average"
"Ростов-на-Дону - Rostov-on-Don Airport (ROV)","Волгоград - Volgograd International Airport (VOG)","07","2032","9700700.00","27337","average"
"Ростов-на-Дону - Rostov-on-Don Airport (ROV)","Волгоград - Volgograd International Airport (VOG)","06","1965","9245400.00","27337","average"
"Москва - Sheremetyevo International Airport (SVO)","Воркута - Vorkuta Airport (VKT)","06","81","1524200.00","7857","very few"
"Омск - Omsk Central Airport (OMS)","Воркута - Vorkuta Airport (VKT)","06","1254","18707600.00","7857","very few"
"Омск - Omsk Central Airport (OMS)","Воркута - Vorkuta Airport (VKT)","08","586","8734400.00","7857","very few"
"Омск - Omsk Central Airport (OMS)","Воркута - Vorkuta Airport (VKT)","07","1307","19492000.00","7857","very few"
"Омск - Omsk Central Airport (OMS)","Воркута - Vorkuta Airport (VKT)","05","402","5998600.00","7857","very few"
"Москва - Domodedovo International Airport (DME)","Воркута - Vorkuta Airport (VKT)","08","636","12180900.00","7857","very few"
"Москва - Domodedovo International Airport (DME)","Воркута - Vorkuta Airport (VKT)","07","1457","27905300.00","7857","very few"
"Москва - Domodedovo International Airport (DME)","Воркута - Vorkuta Airport (VKT)","06","1403","26869800.00","7857","very few"
"Москва - Domodedovo International Airport (DME)","Воркута - Vorkuta Airport (VKT)","05","556","10651400.00","7857","very few"
"Москва - Sheremetyevo International Airport (SVO)","Воркута - Vorkuta Airport (VKT)","08","41","772400.00","7857","very few"
"Москва - Sheremetyevo International Airport (SVO)","Воркута - Vorkuta Airport (VKT)","07","90","1696300.00","7857","very few"
"Москва - Sheremetyevo International Airport (SVO)","Воркута - Vorkuta Airport (VKT)","05","44","830400.00","7857","very few"
"Санкт-Петербург - Pulkovo Airport (LED)","Воронеж - Voronezh International Airport (VOZ)","07","234","2471000.00","2744","very few"
"Москва - Domodedovo International Airport (DME)","Воронеж - Voronezh International Airport (VOZ)","05","280","1155600.00","2744","very few"
"Москва - Domodedovo International Airport (DME)","Воронеж - Voronezh International Airport (VOZ)","06","726","3001800.00","2744","very few"
"Санкт-Петербург - Pulkovo Airport (LED)","Воронеж - Voronezh International Airport (VOZ)","08","125","1323500.00","2744","very few"
"Москва - Domodedovo International Airport (DME)","Воронеж - Voronezh International Airport (VOZ)","07","727","3002700.00","2744","very few"
"Москва - Domodedovo International Airport (DME)","Воронеж - Voronezh International Airport (VOZ)","08","333","1376900.00","2744","very few"
"Санкт-Петербург - Pulkovo Airport (LED)","Воронеж - Voronezh International Airport (VOZ)","05","82","871000.00","2744","very few"
"Санкт-Петербург - Pulkovo Airport (LED)","Воронеж - Voronezh International Airport (VOZ)","06","237","2509500.00","2744","very few"
"Москва - Domodedovo International Airport (DME)","Геленджик - Gelendzhik Airport (GDZ)","05","149","1818500.00","3227","very few"
"Москва - Domodedovo International Airport (DME)","Геленджик - Gelendzhik Airport (GDZ)","06","455","5547500.00","3227","very few"
"Москва - Domodedovo International Airport (DME)","Геленджик - Gelendzhik Airport (GDZ)","07","435","5303100.00","3227","very few"
"Москва - Domodedovo International Airport (DME)","Геленджик - Gelendzhik Airport (GDZ)","08","231","2819100.00","3227","very few"
"Москва - Sheremetyevo International Airport (SVO)","Геленджик - Gelendzhik Airport (GDZ)","05","161","2061600.00","3227","very few"
"Москва - Sheremetyevo International Airport (SVO)","Геленджик - Gelendzhik Airport (GDZ)","06","461","5904100.00","3227","very few"
"Москва - Sheremetyevo International Airport (SVO)","Геленджик - Gelendzhik Airport (GDZ)","07","461","5904100.00","3227","very few"
"Москва - Sheremetyevo International Airport (SVO)","Геленджик - Gelendzhik Airport (GDZ)","08","235","3007900.00","3227","very few"
"Москва - Vnukovo International Airport (VKO)","Геленджик - Gelendzhik Airport (GDZ)","05","76","940800.00","3227","very few"
"Москва - Vnukovo International Airport (VKO)","Геленджик - Gelendzhik Airport (GDZ)","06","227","2812500.00","3227","very few"
"Москва - Vnukovo International Airport (VKO)","Геленджик - Gelendzhik Airport (GDZ)","07","224","2779200.00","3227","very few"
"Москва - Vnukovo International Airport (VKO)","Геленджик - Gelendzhik Airport (GDZ)","08","112","1386000.00","3227","very few"
"Москва - Sheremetyevo International Airport (SVO)","Горно-Алтайск - Gorno-Altaysk Airport (RGK)","08","29","1161700.00","174","very few"
"Москва - Sheremetyevo International Airport (SVO)","Горно-Алтайск - Gorno-Altaysk Airport (RGK)","05","32","1139800.00","174","very few"
"Москва - Sheremetyevo International Airport (SVO)","Горно-Алтайск - Gorno-Altaysk Airport (RGK)","07","58","2263900.00","174","very few"
"Москва - Sheremetyevo International Airport (SVO)","Горно-Алтайск - Gorno-Altaysk Airport (RGK)","06","55","1978700.00","174","very few"
"Москва - Domodedovo International Airport (DME)","Грозный - Khankala Air Base (GRV)","05","158","2333800.00","1136","very few"
"Москва - Domodedovo International Airport (DME)","Грозный - Khankala Air Base (GRV)","08","191","2808100.00","1136","very few"
"Москва - Domodedovo International Airport (DME)","Грозный - Khankala Air Base (GRV)","07","403","5927300.00","1136","very few"
"Москва - Domodedovo International Airport (DME)","Грозный - Khankala Air Base (GRV)","06","384","5652900.00","1136","very few"
"Пермь - Bolshoye Savino Airport (PEE)","Екатеринбург - Koltsovo Airport (SVX)","08","1131","4518000.00","67081","great"
"Сыктывкар - Syktyvkar Airport (SCW)","Екатеринбург - Koltsovo Airport (SVX)","07","3932","36842900.00","67081","great"
"Пермь - Bolshoye Savino Airport (PEE)","Екатеринбург - Koltsovo Airport (SVX)","07","2324","9275200.00","67081","great"
"Комсомольск-на-Амуре - Komsomolsk-on-Amur Airport (KXK)","Екатеринбург - Koltsovo Airport (SVX)","06","230","14295200.00","67081","great"
"Комсомольск-на-Амуре - Komsomolsk-on-Amur Airport (KXK)","Екатеринбург - Koltsovo Airport (SVX)","05","123","7291900.00","67081","great"
"Москва - Sheremetyevo International Airport (SVO)","Екатеринбург - Koltsovo Airport (SVX)","06","9996","177376500.00","67081","great"
"Москва - Sheremetyevo International Airport (SVO)","Екатеринбург - Koltsovo Airport (SVX)","05","3984","71120400.00","67081","great"
"Усть-Илимск - Ust-Ilimsk Airport (UIK)","Екатеринбург - Koltsovo Airport (SVX)","08","120","2982000.00","67081","great"
"Усть-Илимск - Ust-Ilimsk Airport (UIK)","Екатеринбург - Koltsovo Airport (SVX)","07","266","6598600.00","67081","great"
"Усть-Илимск - Ust-Ilimsk Airport (UIK)","Екатеринбург - Koltsovo Airport (SVX)","06","282","6997200.00","67081","great"
"Усть-Илимск - Ust-Ilimsk Airport (UIK)","Екатеринбург - Koltsovo Airport (SVX)","05","50","1245000.00","67081","great"
"Магнитогорск - Magnitogorsk International Airport (MQF)","Екатеринбург - Koltsovo Airport (SVX)","05","285","1146600.00","67081","great"
"Сургут - Surgut Airport (SGC)","Екатеринбург - Koltsovo Airport (SVX)","05","356","3998300.00","67081","great"
"Сургут - Surgut Airport (SGC)","Екатеринбург - Koltsovo Airport (SVX)","08","703","7599700.00","67081","great"
"Норильск - Norilsk-Alykel Airport (NSK)","Екатеринбург - Koltsovo Airport (SVX)","05","987","23594900.00","67081","great"
"Москва - Sheremetyevo International Airport (SVO)","Екатеринбург - Koltsovo Airport (SVX)","07","10414","185396900.00","67081","great"
"Пермь - Bolshoye Savino Airport (PEE)","Екатеринбург - Koltsovo Airport (SVX)","05","1031","4101700.00","67081","great"
"Комсомольск-на-Амуре - Komsomolsk-on-Amur Airport (KXK)","Екатеринбург - Koltsovo Airport (SVX)","08","117","7383300.00","67081","great"
